"","Accipiter_gentilis","Accipiter_nisus","Acrocephalus_sp.","Aegolius_funereus","Alauda_arvensis","Anas_sp.","Anguis_fragilis","Anthus_sp.","Apodemus_flavicollis","Apodemus_sylvaticus","Aquila_pomarina","Arvicola_terrestris","Asio_otus","Blicca_bjoerkna","Bonasa_bonasia","Bufo_sp.","Buteo_buteo","Canis_lupus","Carassius_carassius","Carduelis_cannabina","Carduelis_carduelis","Carduelis_chloris","Castor_fiber","Certhia_familiaris","Clethrionomys_glareolus","Coccothraustes_coccothraustes","Columba_palumbus","Corvus_corone","Cuculus_canorus","Dendrocopos_major","Dryomys_nitedula","Emberiza_citrinella","Emberiza_schoeniclus","Erinaceus_concolor","Erithacus_rubecula","Esox_lucius","Falco_subbuteo","Ficedula_albicollis","Ficedula_hypoleuca","Fringilla_coelebs","Garrulus_glandarius","Gasterosteus_aculeatus","Glaucidium_passerinum","Glis_glis","Gobio_gobio","Gymnocephalus_cernuus","Hippolais_icterina","Hirundo_rustica","Hymenoptera","Jynx_torquilla","Lacerta_sp.","Lanius_collurio","Larus_ridibundus","Lepus_europaeus","Lota_lota","Lumbricidae_sp.","Lutra_lutra","Lynx_lynx","Martes_martes","Meles_meles","Micromys_minutus","Microtus_agrestis","Microtus_arvalis","Microtus_oeconomus","Motacilla_alba","Motacilla_flava","Mus_musculus","Mustela_putorius","Mustela_vison","Natrix_natrix","Neomys_anomalus","Neomys_fodiens","Nyctereutes_procyonoides","Oriolus_oriolus","Parus_caeruleus","Parus_major","Perca_fluviatilis","Perdix_perdix","Pernis_apivorus","Phoenicurus_phoenicurus","Phylloscopus_collybita","Phylloscopus_sibilatrix","Pitymys_subterraneus","Prunella_modularis","Pyrrhula_pyrrhula","Rana_arvalis","Rana_temporaria","Rattus_norvegicus","Riparia_riparia","Rutilus_rutilus","Saxicola_rubetra","Sciurus_vulgaris","Serinus_serinus","Sicista_betulina","Sitta_europaea","Sorex_araneus","Sorex_caecutiens","Sorex_minutus","Strix_aluco","Sturnus_vulgaris","Sylvia_atricapilla","Sylvia_communis","Sylvia_sp.","Talpa_europaea","Tringa_ochropus","Troglodytes_troglodytes","Turdus_iliacus","Turdus_merula","Turdus_philomelos","Undet._amphibians","Undet._bats","Undet._birds","Upupa_epops","Vanellus_vanellus","Vulpes_vulpes"
"Accipiter_gentilis",8.70954692556634,NA,NA,NA,NA,NA,NA,-0.000529923199761699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00415682914170967,NA,NA,NA,NA,NA,-1.23208156594703e-05,NA,NA,NA,-0.000221160573115037,-0.000191593798756707,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00721144573525235,NA,NA,-0.0556195448538617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007668207973956,NA,NA,NA,NA,NA,NA,NA,-1.20104719998239e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00206825472309227,NA,NA,NA,NA,NA,NA,-0.0600150104046229,-0.00784207203895992,-0.00314098292702375,NA,NA,NA,NA,-0.019744938423121,NA
"Accipiter_nisus",NA,30.7859078590786,NA,NA,-0.087266858531703,NA,NA,-0.0102256303069385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0240534036124085,NA,-0.012184412340968,NA,NA,NA,-0.0213377768019259,-0.00843396298859755,NA,NA,NA,NA,NA,NA,-0.0175352500561741,-0.0534522085543193,NA,NA,NA,-0.0474434293498353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.76392288229254,NA,NA,NA,NA,NA,NA,NA,-0.00504439961856962,NA,NA,NA,NA,NA,NA,-0.00395193084519095,-0.0014484757326044,NA,NA,NA,NA,NA,NA,-0.732703679270291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0083145743868772,NA,-0.0826838407946329,NA,NA,-0.0172933486158434,NA,NA,-0.0215374670447439,-0.0126684429052914,NA,NA,NA,NA,NA,NA
"Acrocephalus_sp.",NA,NA,3.76421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0430536187700718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegolius_funereus",NA,NA,NA,329.917355371901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00344358837075069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000419606165380273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0012592780866834,NA,NA,NA,NA,NA,NA
"Alauda_arvensis",NA,0.87266858531703,NA,NA,1.79574,NA,NA,NA,NA,NA,0.180872941212172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.73011833070826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anas_sp.",NA,NA,NA,NA,NA,0.01022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0138738648413396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anguis_fragilis",NA,NA,NA,NA,NA,NA,0.0154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13101056140829e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthus_sp.",0.00529923199761699,0.102256303069385,NA,NA,NA,NA,NA,1.45787,NA,NA,NA,NA,NA,NA,NA,NA,0.00419138784569109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125693213249415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00478373541889686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apodemus_flavicollis",NA,NA,NA,NA,NA,NA,NA,NA,0.00227,NA,0.000110001178795982,NA,0.0137580897967439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apodemus_sylvaticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.70827,0.0750206966490299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
