"","Abramis_brama","Accipiter_gentilis","Accipiter_nisus","Aegithalos_caudatus","Aegolius_funereus","Anas_sp.","Apodemus_agrarius","Apodemus_flavicollis","Apodemus_sylvaticus","Arvicola_terrestris","Asio_otus","Astacus_sp.","Bison_bonasus","Bonasa_bonasia","Bufo_sp.","Buteo_buteo","Canis_lupus","Capreolus_capreolus","Carcass","Carduelis_carduelis","Carduelis_chloris","Carduelis_spinus","Certhia_familiaris","Cervus_elaphus","Clethrionomys_glareolus","Coccothraustes_coccothraustes","Columba_livia","Columba_palumbus","Corvus_corone","Corvus_frugilegus","Cygnus_sp.","Dendrocopos_leucotos","Dendrocopos_major","Dendrocopos_medius","Dendrocopos_minor","Dryocopus_martius","Dryomys_nitedula","Emberiza_citrinella","Erinaceus_concolor","Garrulus_glandarius","Gasterosteus_aculeatus","Glaucidium_passerinum","Glis_glis","Lacerta_sp.","Lepus_europaeus","Leuciscus_idus","Lutra_lutra","Lynx_lynx","Martes_martes","Micromys_minutus","Microtus_agrestis","Microtus_arvalis","Microtus_oeconomus","Misgurnus_fossilis","Mus_musculus","Mustela_erminea","Mustela_nivalis","Mustela_putorius","Mustela_vison","Natrix_natrix","Neomys_fodiens","Nucifraga_caryocatactes","Nyctereutes_procyonoides","Parus_caeruleus","Parus_major","Pelobates_fuscus","Picoides_tridactylus","Picus_viridis","Pitymys_subterraneus","Prunella_modularis","Pyrrhula_pyrrhula","Rana_arvalis","Rana_esculenta","Rana_temporaria","Rattus_norvegicus","Regulus_regulus","Scardinius_erythrophthalmus","Sciurus_vulgaris","Scolopax_rusticola","Sicista_betulina","Sitta_europaea","Sorex_araneus","Sorex_minutus","Strix_aluco","Sus_scrofa","Sylvia_atricapilla","Talpa_europaea","Tinca_tinca","Troglodytes_troglodytes","Undet._amphibians","Undet._bats","Undet._birds","Vulpes_vulpes"
"Abramis_brama",0.05924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accipiter_gentilis",NA,8.70954692556634,NA,NA,NA,NA,NA,NA,NA,-0.00184691116327039,NA,NA,NA,-0.000355476432138284,NA,NA,NA,NA,NA,NA,-0.00629621760941357,NA,NA,NA,-7.35595745175092e-05,-0.0013974869912558,NA,-0.00347653574667206,-0.0415682914170966,-0.0349467936692406,NA,-0.11000752398398,-0.0128462371992363,-0.0379710386061001,NA,-0.00405321316603657,-0.00353085957684045,NA,NA,-0.0429202477615041,NA,NA,NA,NA,-0.00315255319360754,NA,NA,NA,NA,-0.000119098128059207,NA,NA,-0.000243014626746104,NA,NA,NA,NA,NA,NA,-1.6460883808114e-05,NA,-0.00535254354843639,NA,NA,-0.000359888787239737,NA,NA,-0.0116146696606594,NA,NA,NA,NA,NA,-1.75788123956796e-06,NA,NA,NA,-0.00201884596281441,NA,NA,-7.08018357993062e-05,NA,NA,NA,NA,NA,-5.41575453891317e-05,NA,NA,NA,NA,-0.00622965404570456,NA
"Accipiter_nisus",NA,NA,30.7859078590786,-0.00120817089018844,NA,NA,NA,NA,-0.0289565580357143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0911210162408774,NA,-0.00213635397445696,NA,-0.000502717688637955,-0.0131087309721595,-0.134536390079189,NA,NA,NA,NA,NA,-0.0314253529737706,-0.0755966622320742,-0.715755670065014,NA,NA,-0.0300715946605695,NA,-0.015293617963832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00117233028484673,NA,NA,NA,NA,NA,NA,NA,NA,-0.0100416037977096,NA,-0.0747213187194682,-0.0551225623906614,NA,-0.133219250595896,NA,NA,-0.00611294029288905,-0.0153014997018148,NA,NA,NA,NA,-0.000281311851690657,NA,NA,-0.00182300163911573,-7.6362517580872e-05,-0.030739607123333,NA,NA,NA,NA,-0.00326472842510663,NA,NA,-0.00309097476327679,NA,-0.00206833333333332,-0.0237710708412465,NA
"Aegithalos_caudatus",NA,NA,0.0120817089018844,4.24807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegolius_funereus",NA,NA,NA,NA,329.917355371901,NA,NA,-0.0025624277970319,-0.733981818181817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00618878155371791,NA,-0.00916620617944146,NA,NA,NA,NA,NA,NA,NA,NA,-0.0110550085879033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00416089466089466,-0.0189786526440424,-0.0623228015179014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0320114978865703,-0.0220036260170429,NA,NA,NA,-0.00217297798646436,NA,NA,NA,NA,NA,NA,-0.0142611569734086,NA,NA,NA,-0.00221212121212121,NA,-0.000104022366522367,-0.003120670995671,NA,NA,NA,NA,NA,NA,NA,NA,-0.00981193479716669,NA
"Anas_sp.",NA,NA,NA,NA,NA,0.01022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0605066066859857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apodemus_agrarius",NA,NA,NA,NA,NA,NA,0.83871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"Apodemus_flavicollis",NA,NA,NA,NA,0.025624277970319,NA,NA,0.00227,NA,NA,NA,NA,NA,NA,NA,0.00197236960763693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0153557149615617,NA,NA,NA,NA,0,NA,0.0338884877342107,NA,NA,NA,NA,NA,NA,0.0799062858600025,0.275526406573137,0.00604919625702438,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0296616092743479,NA,NA,NA,NA,NA,NA,NA,NA,0.00546134092373268
"Apodemus_sylvaticus",NA,NA,0.289565580357143,NA,7.33981818181817,NA,NA,NA,6.70827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108370681486881,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arvicola_terrestris",NA,0.0184691116327039,NA,NA,NA,NA,NA,NA,NA,0.64635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.406533183483184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333448932869851,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asio_otus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.827586206897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000809452499635316,NA
"Astacus_sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0543171631677088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bison_bonasus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-05,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bonasa_bonasia",NA,0.00355476432138284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bufo_sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00851199033739211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00110125189416957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
