"","x"
"Accipiter_gentilis",-0.04545
"Accipiter_nisus",-0.0495
"Acrocephalus_sp.",4.73748
"Aegolius_funereus",-0.06289
"Alauda_arvensis",3.57513
"Anas_sp.",1.56799
"Anguis_fragilis",2.99779
"Anthus_sp.",4.16951
"Apodemus_flavicollis",12.02424
"Apodemus_sylvaticus",13.41654
"Aquila_pomarina",-0.03831
"Arvicola_terrestris",8.40257
"Asio_otus",-0.03597
"Blicca_bjoerkna",1.95668
"Bonasa_bonasia",1.94774
"Bufo_sp.",3.67512
"Buteo_buteo",-0.03472
"Canis_lupus",-0.04854
"Carassius_carassius",2.25636
"Carduelis_cannabina",4.2808
"Carduelis_carduelis",4.55838
"Carduelis_chloris",3.83313
"Castor_fiber",2.41663
"Certhia_familiaris",5.09075
"Clethrionomys_glareolus",13.97288
"Coccothraustes_coccothraustes",3.23782
"Columba_palumbus",1.86466
"Corvus_corone",1.80457
"Cuculus_canorus",2.78832
"Dendrocopos_major",2.94829
"Dryomys_nitedula",11.74974
"Emberiza_citrinella",3.76758
"Emberiza_schoeniclus",4.16951
"Erinaceus_concolor",1.79457
"Erithacus_rubecula",4.34241
"Esox_lucius",1.55342
"Falco_subbuteo",-0.06711
"Ficedula_albicollis",4.64362
"Ficedula_hypoleuca",4.73748
"Fringilla_coelebs",3.94328
"Garrulus_glandarius",2.42428
"Gasterosteus_aculeatus",5.15919
"Glaucidium_passerinum",-0.16667
"Glis_glis",8.4352
"Gobio_gobio",3.6481
"Gymnocephalus_cernuus",3.51018
"Hippolais_icterina",4.55838
"Hirundo_rustica",4.2808
"Hymenoptera",NA
"Jynx_torquilla",3.57513
"Lacerta_sp.",4.17166
"Lanius_collurio",3.76758
"Larus_ridibundus",2.1479
"Lepus_europaeus",2.11021
"Lota_lota",1.57318
"Lumbricidae_sp.",NA
"Lutra_lutra",-0.05495
"Lynx_lynx",-0.04219
"Martes_martes",-0.05495
"Meles_meles",-0.05376
"Micromys_minutus",16.87041
"Microtus_agrestis",12.95586
"Microtus_arvalis",13.58969
"Microtus_oeconomus",12.56478
"Motacilla_alba",3.98373
"Motacilla_flava",4.2808
"Mus_musculus",14.18627
"Mustela_putorius",-0.09009
"Mustela_vison",-0.08772
"Natrix_natrix",2.31061
"Neomys_anomalus",5.39476
"Neomys_fodiens",4.8306
"Nyctereutes_procyonoides",-0.06024
"Oriolus_oriolus",3.01656
"Parus_caeruleus",4.84166
"Parus_major",4.2808
"Perca_fluviatilis",3.06767
"Perdix_perdix",1.96553
"Pernis_apivorus",-0.03448
"Phoenicurus_phoenicurus",4.40872
"Phylloscopus_collybita",5.09075
"Phylloscopus_sibilatrix",4.95841
"Pitymys_subterraneus",13.97288
"Prunella_modularis",4.11896
"Pyrrhula_pyrrhula",3.94328
"Rana_arvalis",5.97786
"Rana_temporaria",4.27643
"Rattus_norvegicus",6.76173
"Riparia_riparia",4.64362
"Rutilus_rutilus",3.03652
"Saxicola_rubetra",4.2808
"Sciurus_vulgaris",6.64182
"Serinus_serinus",4.64362
"Sicista_betulina",16.87041
"Sitta_europaea",3.98373
"Sorex_araneus",5.55598
"Sorex_caecutiens",6.24871
"Sorex_minutus",7.09991
"Strix_aluco",-0.04464
"Sturnus_vulgaris",2.94829
"Sylvia_atricapilla",4.2808
"Sylvia_communis",4.55838
"Sylvia_sp.",4.34241
"Talpa_europaea",1.79176
"Tringa_ochropus",2.86274
"Troglodytes_troglodytes",5.24288
"Turdus_iliacus",3.04837
"Turdus_merula",2.78832
"Turdus_philomelos",3.04837
"Undet._amphibians",4.38478
"Undet._bats",0.54232
"Undet._birds",2.15553
"Upupa_epops",3.16814
"Vanellus_vanellus",2.34469
"Vulpes_vulpes",-0.04695
